keyword,total,positive,negative,neutral,sentiment_index
로밍,1,1,0,0,1.0
멤버십,1,1,0,0,1.0
T 우주,1,1,0,0,1.0
T팩토리 성수,1,1,0,0,1.0
OTT,1,1,0,0,1.0
할인,1,1,0,0,1.0
SK텔레콤,1,1,0,0,1.0
쏘나타,1,1,0,0,1.0
트림,1,1,0,0,1.0
출시,1,1,0,0,1.0
사양,1,1,0,0,1.0
아동 야간 돌봄,5,5,0,0,1.0
사회적 안전망,2,2,0,0,1.0
민관 협력,1,1,0,0,1.0
KB금융그룹,6,6,0,0,1.0
KB국민은행,3,3,0,0,1.0
안전망 구축,1,1,0,0,1.0
KB금융그룹 회장,1,1,0,0,1.0
야간 연장돌봄사업,1,1,0,0,1.0
지원 사업,1,1,0,0,1.0
박찬욱 감독,1,1,0,0,1.0
어쩔수가없다,1,1,0,0,1.0
영화제,1,1,0,0,1.0
개봉,1,1,0,0,1.0
해외 판매,1,1,0,0,1.0
흥행,1,1,0,0,1.0
CJ ENM,1,1,0,0,1.0
배수시스템,1,1,0,0,1.0
시연,1,1,0,0,1.0
재난,1,1,0,0,1.0
전진건설로봇,1,1,0,0,1.0
KB금융,1,1,0,0,1.0
야간 돌봄,2,2,0,0,1.0
아동,2,2,0,0,1.0
지원,1,1,0,0,1.0
가상자산,1,1,0,0,1.0
업비트,1,1,0,0,1.0
인수,1,1,0,0,1.0
스테이블 코인,1,1,0,0,1.0
플랫폼,2,2,0,0,1.0
네이버,1,1,0,0,1.0
두나무,1,1,0,0,1.0
미래에셋증권,1,1,0,0,1.0
라킨,1,1,0,0,1.0
합작법인,1,1,0,0,1.0
현지화,1,1,0,0,1.0
사회공헌,1,1,0,0,1.0
LG전자,1,1,0,0,1.0
산학협력,1,1,0,0,1.0
부산대,1,1,0,0,1.0
미래 인재,1,1,0,0,1.0
기술 개발,1,1,0,0,1.0
객석나눔,1,1,0,0,1.0
넷플릭스,1,1,0,0,1.0
협업 마케팅,1,1,0,0,1.0
매출,1,1,0,0,1.0
방문객,1,1,0,0,1.0
부티크 매장,1,1,0,0,1.0
CJ그룹,1,1,0,0,1.0
이디야커피,1,1,0,0,1.0
맥도날드,1,1,0,0,1.0
롯데백화점,1,1,0,0,1.0
AI,1,1,0,0,1.0
제품 판매,1,1,0,0,1.0
중동 지역,1,1,0,0,1.0
안랩,1,1,0,0,1.0
업무협약,8,7,0,1,0.875
보건복지부,7,5,0,2,0.7142857142857143
사이버 보안,2,1,0,1,0.5
가격,1,0,0,1,0.0
현대차,2,1,1,0,0.0
침수,1,0,0,1,0.0
집중호우,1,0,0,1,0.0
K뷰티,1,0,0,1,0.0
브랜드,1,0,0,1,0.0
혁신,1,0,0,1,0.0
개편,1,0,0,1,0.0
카카오,1,0,0,1,0.0
GCF 2025,2,0,0,2,0.0
안철수,1,0,0,1,0.0
무단 소액결제,1,0,1,0,-1.0
서버 해킹,2,0,2,0,-1.0
은폐·축소,1,0,1,0,-1.0
대응,1,0,1,0,-1.0
책임,1,0,1,0,-1.0
허위 신고,1,0,1,0,-1.0
KT,2,0,2,0,-1.0
현대차 전주공장,1,0,1,0,-1.0
철거 작업,1,0,1,0,-1.0
중대재해처벌법,1,0,1,0,-1.0
산업안전보건법,1,0,1,0,-1.0
사고 원인 조사,1,0,1,0,-1.0
개인정보 유출,1,0,1,0,-1.0
소액 결제,1,0,1,0,-1.0
거짓 해명,1,0,1,0,-1.0
정보통신망법 위반,1,0,1,0,-1.0
과태료,1,0,1,0,-1.0
구조조정,1,0,1,0,-1.0
실적,1,0,1,0,-1.0
경쟁,1,0,1,0,-1.0
아모레퍼시픽,1,0,1,0,-1.0
LG생활건강,1,0,1,0,-1.0
